table,field,stage9_role,official_or_verified_definition,observed_nonblank,observed_total,stage9_use
users.csv,__table__,table,"37 rows x 117 columns; one row per public participant",37,37,"participant continuity and optional baseline covariates"
users.csv,user.index,user_id,"anonymous participant identifier",37,37,"outer grouping key; never exposed in product"
users.csv,totaldays,quality,"recorded study duration for participant",not_audited,37,"quality diagnostic only"
users.csv,age,baseline_context,"participant age",not_audited,37,"descriptive audit; not a youth-validating feature"
users.csv,gender,baseline_context,"participant-reported gender",not_audited,37,"descriptive audit; exclude from neighbor model unless separately justified"
users.csv,consc,baseline_context,"conscientiousness summary score",not_audited,37,"not in frozen primary model"
users.csv,selfeff.intake,baseline_context,"intake self-efficacy for physical activity",not_audited,37,"not in frozen primary model"
users.csv,metmins.intake,baseline_context,"intake IPAQ MET-minutes",not_audited,37,"not in frozen primary model"
suggestions.csv,__table__,table,"8,274 rows x 86 columns; repeated decision opportunities",8274,8274,"primary external mechanism table"
suggestions.csv,user.index,user_id,"user ID",8274,8274,"participant grouping key"
suggestions.csv,decision.index,decision_id,"decision index",8274,8274,"within-user sequence key"
suggestions.csv,decision.index.nogap,sequence,"decision index excluding travel gaps",7884,8274,"derive relative order with audit; do not assume it alone reproduces paper exclusions"
suggestions.csv,sugg.decision.utime,time,"decision timestamp",8273,8274,"strict temporal ordering"
suggestions.csv,sugg.decision.slot,context,"actual decision slot",7539,8274,"coarse time context; expected main slots 1-5"
suggestions.csv,sugg.context.utime,time,"timestamp of context snapshot",7539,8274,"context provenance/quality"
suggestions.csv,sugg.response.utime,response_time,"rating, snooze, or timeout timestamp",3021,8274,"secondary acceptability timing"
suggestions.csv,connect,availability,"active server connection at decision time or prefetch time",8274,8274,"eligibility/quality field"
suggestions.csv,is.randomized,assignment_quality,"released logical randomization/decision field; interpretation must follow official dictionary and consistency checks",7539,8274,"required nonblank operational field; not itself a positive label"
suggestions.csv,snooze.status,availability,"whether snooze was active",7539,8274,"availability component"
suggestions.csv,intransit,availability,"walking or in a vehicle at decision time",7539,8274,"availability/safety component"
suggestions.csv,avail,availability,"available when connected, not snoozed, and not in transit",8274,8274,"primary analysis restricted to true"
suggestions.csv,send,exposure,"whether a notification was sent",7539,8274,"combine with action flags; exposure alone is never positive feedback"
suggestions.csv,send.active,action,"walking/active suggestion sent",8273,8274,"action archetype active"
suggestions.csv,send.sedentary,action,"antisedentary suggestion sent",8273,8274,"action archetype sedentary"
suggestions.csv,is.prefetch,quality,"decision used context prefetched 30 minutes earlier",7539,8274,"quality/context-age diagnostic"
suggestions.csv,recognized.activity,context,"Google activity class at decision",7539,8274,"collapse to preregistered coarse activity bucket"
suggestions.csv,recognized.activity.response,context,"Google activity class at response",2063,8274,"secondary only; post-action field excluded from prediction features"
suggestions.csv,tag.active,context,"active tag derived from recognized activity",4274,8274,"diagnostic; avoid redundant leakage with action encoding"
suggestions.csv,tag.indoor,context,"indoor tag",4274,8274,"context diagnostic"
suggestions.csv,tag.outdoor,context,"outdoor tag",4274,8274,"context diagnostic; does not validate an outdoor task"
suggestions.csv,tag.outdoor_snow,context,"outdoor-with-snow tag",4274,8274,"context diagnostic"
suggestions.csv,front.end.application,context,"foreground Android package or NA when screen off",1474,8274,"excluded from frozen primary model for sparsity/privacy"
suggestions.csv,returned.message,message_variant,"message text or do_not_notify",7539,8274,"audit only; 258 sent variants are not stable CF items"
suggestions.csv,response,explicit_feedback,"good, bad, no_response, or snooze response",3021,8274,"secondary acceptability label; good/bad only; no_response is not negative"
suggestions.csv,dec.location.category,context,"home, work, or Google place-type category at decision",7539,8274,"collapse to home/work/other/unknown"
suggestions.csv,dec.weather.condition,context,"Weather Underground condition at decision",7504,8274,"collapse to precipitation/snow vs other/unknown"
suggestions.csv,dec.temperature,context,"temperature Celsius at decision",7423,8274,"secondary sensitivity only"
suggestions.csv,dec.precipitation.chance,context,"0-100 precipitation chance within 60 minutes",7539,8274,"secondary sensitivity only"
suggestions.csv,jbsteps30,outcome,"Jawbone steps in 30 minutes after decision",7233,8274,"primary measured outcome; complete-case"
suggestions.csv,jbsteps30.zero,outcome_sensitivity,"Jawbone 30-minute steps with missing imputed to zero",8274,8274,"sensitivity only; may conflate non-wear/travel with zero activity"
suggestions.csv,jbsteps30pre,prior_behavior,"Jawbone steps in 30 minutes before decision",7262,8274,"prediction-time context/control when nonmissing"
suggestions.csv,jbsteps30pre.zero,prior_behavior_sensitivity,"prior 30-minute Jawbone steps with missing imputed zero",8274,8274,"sensitivity only"
suggestions.csv,gfsteps30,outcome_sensitivity,"phone/Google Fit steps in 30 minutes after decision",4672,8274,"secondary sensor sensitivity"
suggestions.csv,gfsteps30pre,prior_behavior_sensitivity,"phone/Google Fit steps in 30 minutes before decision",4693,8274,"secondary sensor sensitivity"
gfsteps.csv,__table__,table,"197,524 rows x 7 columns; minute-level phone steps",197524,197524,"sensor sensitivity only"
gfsteps.csv,user.index,user_id,"user ID",197524,197524,"participant grouping"
gfsteps.csv,steps.utime,time,"minute timestamp",197524,197524,"temporal aggregation audit"
gfsteps.csv,steps,outcome_component,"steps in minute",197524,197524,"reconstruct sensitivity windows"
gfsteps.csv,decision.index.following.dec,linkage,"decision index following the minute",not_audited,197524,"decision-window linkage"
jbsteps.csv,__table__,table,"237,865 rows x 10 columns; minute-level Jawbone steps",237865,237865,"primary sensor provenance/reconstruction"
jbsteps.csv,user.index,user_id,"user ID",237865,237865,"participant grouping"
jbsteps.csv,steps.utime,time,"minute timestamp UTC",237865,237865,"temporal aggregation audit"
jbsteps.csv,steps.utime.local,time,"minute timestamp local",237865,237865,"local-time/slot audit"
jbsteps.csv,steps,outcome_component,"steps in minute; absent minutes are not automatically measured zero",237865,237865,"reconstruct primary windows"
jbsteps.csv,study.day.nogap,sequence,"study day excluding travel gaps",not_audited,237865,"relative-time audit"
jbsteps.csv,decision.index.following.dec,linkage,"decision index following the minute",not_audited,237865,"decision-window linkage"
