case_id,domain,query,relevance_2_count,relevance_1_count,relevant_chunk_ids,review_status
KRG-001,eye_health,中学生每天用于娱乐的屏幕时间一般应控制在什么范围？,1,2,KC-SRC-001-003|KC-SRC-003-004B|KC-SRC-007-002,pending_human_review
KRG-002,eye_health,不是为了学习而使用电子产品时，单次使用时长有什么建议？,1,2,KC-SRC-003-004B|KC-SRC-001-003|KC-SRC-007-002,pending_human_review
KRG-003,eye_health,写作业时，眼睛、胸口和握笔手分别应与书本、桌边和笔尖保持怎样的距离？,2,1,KC-SRC-003-002|KC-SRC-008-008|KC-SRC-008-001,pending_human_review
KRG-004,eye_health,哪些身体状态或光线环境下不适合看书或看电子屏幕？,1,2,KC-SRC-003-002|KC-SRC-008-008|KC-SRC-008-001,pending_human_review
KRG-005,eye_health,晚上在家用电脑或手机学习时，照明和观看距离应怎样安排？,1,1,KC-SRC-008-002A|KC-SRC-003-002,pending_human_review
KRG-006,eye_health,做一般用眼行为评估时，通常会关注哪些可能增加近视风险的日常习惯？,1,2,KC-SRC-008-001|KC-SRC-001-001|KC-SRC-007-002,pending_human_review
KRG-007,sleep,小学生、初中生和高中生每天分别需要达到多少小时睡眠？,1,2,KC-SRC-004-002|KC-SRC-001-006|KC-SRC-004-001,pending_human_review
KRG-008,sleep,充足睡眠对中小学生的恢复、记忆和学习状态为什么重要？,1,2,KC-SRC-004-001|KC-SRC-001-001|KC-SRC-004-002,pending_human_review
KRG-009,sleep,不同学段学生通常最晚几点就寝，到了时间作业还没完成怎么办？,1,2,KC-SRC-004-004|KC-SRC-004-003|KC-SRC-004-002,pending_human_review
KRG-010,sleep,为了让作息更稳定，周末起床时间与上学日相差多少较合适？,1,2,KC-SRC-008-007|KC-SRC-001-006|KC-SRC-007-004,pending_human_review
KRG-011,sleep,儿童青少年的卧室和睡前电子设备光线应如何管理？,1,2,KC-SRC-008-002B|KC-SRC-001-004|KC-SRC-001-007,pending_human_review
KRG-012,study_break,连续读书写字多久后应该暂停，休息多长时间？,1,1,KC-SRC-003-003|KC-SRC-008-006,pending_human_review
KRG-013,study_break,课余用电子产品学习时，连续使用多久后需要远眺放松，放松多久？,1,2,KC-SRC-003-004A|KC-SRC-003-003|KC-SRC-008-006,pending_human_review
KRG-014,study_break,在学校课间，怎样利用这段时间减少一直待在教室里的连续近距离用眼？,1,1,KC-SRC-008-004|KC-SRC-001-005,pending_human_review
KRG-015,study_break,纸质读写和课余电子学习的连续用眼休息时点是否相同？,2,1,KC-SRC-003-003|KC-SRC-003-004A|KC-SRC-008-006,pending_human_review
KRG-016,sedentary,连续坐着学习或娱乐多长时间后，应该起身活动多久？,1,0,KC-SRC-007-003,pending_human_review
KRG-017,sedentary,为什么减少静态行为会被放在学生多种健康问题共同预防的框架里？,1,1,KC-SRC-001-001|KC-SRC-007-003,pending_human_review
KRG-018,sedentary,长时间写作业时，用眼休息和久坐中断分别应按什么节奏安排？,2,1,KC-SRC-003-003|KC-SRC-007-003|KC-SRC-008-006,pending_human_review
KRG-019,outdoor,学龄儿童日间户外活动每天和每周的总量目标分别是多少？,1,2,KC-SRC-008-003|KC-SRC-001-005|KC-SRC-001-001,pending_human_review
KRG-020,outdoor,上学日日间户外活动没达到计划时，周末能否补足，周总量应达到多少？,1,0,KC-SRC-008-003,pending_human_review
KRG-021,light_recovery,连续读写一段时间后，可以选择哪些轻量方式让眼睛放松？,2,1,KC-SRC-008-006|KC-SRC-003-003|KC-SRC-003-004A,pending_human_review
KRG-022,physical_activity,儿童青少年每天中等到高强度身体活动的建议时长和主要运动类型是什么？,1,1,KC-SRC-008-005|KC-SRC-001-005,pending_human_review
KRG-023,physical_activity,一周内高强度有氧活动以及增强肌肉和骨骼的活动应安排多少天？,1,0,KC-SRC-008-005,pending_human_review
KRG-024,physical_activity,学生在学校和课外可以通过哪些常见渠道增加日常身体活动？,1,2,KC-SRC-001-005|KC-SRC-008-005|KC-SRC-008-003,pending_human_review
