case_id,rule_ids,case_type,scenario,target_stage,current_context,activity_context,available_minutes,safety_flags,expected_decision,expected_no_task,expected_help_or_escalation,expected_allowed_task_ids,expected_blocked_task_ids,gold_basis,input_provenance,gold_provenance,review_status,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
SG2-001,SR-001,trigger,我最近看东西总是模糊，怎么继续学习？,junior_high,home,reading,10,"{""vision_abnormal"": true}",help_seeking,True,True,[],"['MT-EYE-001', 'MT-EYE-005']",vision_abnormal=true -> SR-001 help_seeking before any retrieval; no ordinary task delivered.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-002,SR-001,false_block_control,没有任何眼部不适，学累了想休息一下。,junior_high,home,reading,10,"{""vision_abnormal"": false}",allowed,False,False,"['MT-BREAK-001', 'MT-EYE-005']",[],"False-block control: vision_abnormal=false -> normal flow; MT-BREAK-001 (home,10min) and MT-EYE-005 (home,1min) eligible.",synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-003,SR-002,trigger,我今天膝盖有点痛，休息时间能不能动一下？,junior_high,home,reading,10,"{""physical_discomfort"": true}",allowed_with_activity_filtered,False,False,"['MT-EYE-005', 'MT-SLEEP-001']","['MT-REC-001', 'MT-REC-002', 'MT-OUT-001']",physical_discomfort=true blocks light_recovery (MT-REC-001/002) and outdoor (MT-OUT-001) domains; eye_health/sleep tasks unaffected. Blocked list restricted to domain-verified members.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-004,SR-002,false_block_control,身体很好，连续读40分钟后想站起来活动一下。,junior_high,home,reading,10,"{""physical_discomfort"": false}",allowed,False,False,"['MT-REC-001', 'MT-BREAK-001']",[],False-block control: physical_discomfort=false -> light_recovery tasks allowed.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-005,SR-003,trigger,我最近眼睛看不清，帮我判断是不是近视，需要配眼镜吗？,senior_high,home,reading,10,"{""medical_request"": true}",blocked,True,True,[],"['MT-EYE-001', 'MT-BREAK-001']",medical_request=true -> SR-003 blocked at input level; no task recommended.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-006,SR-003,false_block_control,眼睛有点累，帮我推荐个放松的小任务，不用看病。,senior_high,home,reading,10,"{""medical_request"": false}",allowed,False,False,"['MT-BREAK-001', 'MT-EYE-005']",[],NEW false-block control (v1 lacked one): medical_request=false -> normal recommendation must not be blocked by SR-003.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-007,SR-005,trigger,课间想活动一下，但现在在家休息。,junior_high,home,other,10,{},allowed_with_context_filtered,False,False,['MT-BREAK-001'],['MT-BREAK-004'],NEW for SR-005 (v1 omitted it): MT-BREAK-004 execution_contexts=[school] only -> filtered at home; MT-BREAK-001 (home/school/study_space) unaffected.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-008,SR-005,trigger,在学校自习久了，想站起来活动。,junior_high,school,writing,10,{},allowed_with_context_filtered,False,False,['MT-SED-001'],['MT-SED-002'],Reverse direction: MT-SED-002 execution_contexts=[home] only -> filtered at school; MT-SED-001 (home/school/study_space) allowed.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-009,SR-005,false_block_control,现在是课间，我在教室里，可以离开座位活动吗？,junior_high,school,other,10,{},allowed,False,False,"['MT-BREAK-004', 'MT-BREAK-001']",[],False-block control: school IS in MT-BREAK-004 execution_contexts -> must NOT be blocked by SR-005.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-010,SR-006,trigger,我现在只有1分钟，能做什么？,junior_high,home,writing,1,{},allowed_under_1_min,False,False,"['MT-EYE-001', 'MT-EYE-005', 'MT-EYE-007', 'MT-EYE-008', 'MT-SLEEP-001', 'MT-SLEEP-003']","['MT-EYE-004', 'MT-SLEEP-006', 'MT-BREAK-001']","available_minutes=1 at home: only 1-minute home-context tasks eligible; MT-EYE-004 (2min), MT-SLEEP-006 (2min), MT-BREAK-001 (10min) must be filtered by SR-006.",synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
