"case_id","case_family_id","query","current_context","activity_context","available_minutes","task_id","task_title","task_domain","task_contexts","task_estimated_minutes","draft_label","draft_reason","evidence_chunk_ids","human_decision","human_label","human_notes"
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-BREAK-001","连续读写后的远眺休息","study_break","home|school|study_space","10","preferred","连续纸质读写约40分钟、10分钟远眺休息与任务触发和指令完全对应。","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-BREAK-002","电子学习后的离屏远眺","study_break","home|school|study_space","10","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-BREAK-003","连续读写后的纯休息","study_break","home|school|study_space","10","acceptable","暂停读写10分钟合理，但没有直接满足远眺偏好。","KC-SRC-003-003","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-BREAK-004","课间离开座位活动","study_break","school","10","invalid","context_mismatch: formal execution_contexts=school does not include home","KC-SRC-008-004","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SED-001","写作业久坐后的起身活动","sedentary","home|school|study_space","10","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-007-003","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SED-002","娱乐久坐后的起身活动","sedentary","home","10","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-007-003","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-001","读写姿势快速复位","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-002","停止躺着看书或看屏幕","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-003","移动场景先暂停阅读","eye_health","commute|home|school","1","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-003-002","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-004","换到合适光线再读写","eye_health","home|school|study_space","2","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-003-002","","",""
