metric_name,numerator,denominator,value,applicable_case_ids,run_id
Mean Basic Preference Utility@1,2,24,0.08333333333333333,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Personal Preference Utility@1,14,24,0.5833333333333334,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Utility Improvement,12,24,0.5,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Personal Wins,10,24,10,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Ties,14,24,14,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Personal Losses,0,24,0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Win Rate,10,24,0.4166666666666667,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Loss Rate,0,24,0.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Preferred Task Availability Rate,24,24,1.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Basic Preferred Top1 Rate,4,24,0.16666666666666666,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
