case_id,case_family_id,query_style,query,current_context,activity_context,available_minutes,task_id,task_title,task_domain,task_contexts,task_estimated_minutes,draft_label,draft_reason,evidence_chunk_ids,reviewer_decision,reviewer_label,reviewer_notes
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,preferred,状态描述为连续写作业约40分钟后刚刚结束近距离看作业本，10分钟休息。任务针对连续读写后远眺，与当前状态直接对应，且execution_contexts=home匹配。,KC-SRC-003-003|KC-SRC-008-006,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,semantic_mismatch,KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,acceptable,纯休息也合理，但未直接处理'刚近距离看过作业本'的需求。,KC-SRC-003-003,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch,KC-SRC-008-004,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,semantic_mismatch,KC-SRC-007-003,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,activity_mismatch,KC-SRC-007-003,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch,KC-SRC-003-002|KC-SRC-008-008,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch,KC-SRC-003-002|KC-SRC-008-008,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-003,移动场景先暂停阅读,eye_health,commute|home|school,1,invalid,activity_mismatch,KC-SRC-003-002,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch,KC-SRC-003-002,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch,KC-SRC-008-002A,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch,KC-SRC-008-002A,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch,KC-SRC-008-002A,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch,KC-SRC-008-002A,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch,KC-SRC-001-007|KC-SRC-008-002B,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch,KC-SRC-001-006|KC-SRC-007-004,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch,KC-SRC-008-007|KC-SRC-001-006,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch,KC-SRC-008-002B|KC-SRC-001-007,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch,KC-SRC-008-002B,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch,KC-SRC-008-002B,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch,KC-SRC-003-003|KC-SRC-008-006,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,acceptable,轻微活动合理，但比远眺更多一步。,KC-SRC-003-003|KC-SRC-008-006,,,
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,acceptable,远眺加轻微活动组合合理，但比单一远眺负担略高。,KC-SRC-003-003|KC-SRC-008-006,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,context_mismatch,KC-SRC-003-003|KC-SRC-008-006,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,context_mismatch,KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,context_mismatch,KC-SRC-003-003,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch,KC-SRC-008-004,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,context_mismatch,KC-SRC-007-003,,,
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch,KC-SRC-007-003,,,
