review_id,scenario,gold_soft_preferences,selected_task_id,selected_task_title,reviewer_A_alignment,reviewer_A_notes,reviewer_B_alignment,reviewer_B_notes,reviewer_C_alignment,reviewer_C_notes,consensus_alignment,consensus_status,consensus_notes
SP-001,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,prefers a combined rest addressing both eyes and sitting,MT-SED-001,写作业久坐后的起身活动,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-002,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,"bedtime approaching; prefer calm, low-stimulation rest",MT-REC-002,远眺加轻微活动的组合休息,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-003,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,prefers quiet rest and no movement | bedtime in about one hour; avoid heavy activity or screen,MT-REC-002,远眺加轻微活动的组合休息,MISALIGNED,,MISALIGNED,,MISALIGNED,,MISALIGNED,CONSENSUS_REACHED,
SP-004,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,prefers light movement over vigorous activity,MT-BREAK-004,课间离开座位活动,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-005,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,prefers light movement over vigorous activity,MT-BREAK-004,课间离开座位活动,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-006,我躺床上看电子书，已经躺了四十分钟，还想再看一会儿，现在应该先做什么？,wants to keep reading after posture fix,MT-EYE-002,停止躺着看书或看屏幕,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-007,在学校连续写了四十分钟作业，现在有十分钟课间。操场在维修不能去户外，只能室内走廊走走，怎么休息合适？,indoor-only light movement; outdoor not possible,MT-REC-002,远眺加轻微活动的组合休息,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-008,在学校连续写了四十分钟作业，现在有十分钟课间。操场在维修不能去户外，只能室内走廊走走，怎么休息合适？,indoor-only light movement; outdoor not possible,MT-REC-002,远眺加轻微活动的组合休息,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-009,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,prefers a combined rest addressing both eyes and sitting,MT-REC-002,远眺加轻微活动的组合休息,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
SP-010,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,wants to sleep in later on weekend,MT-SLEEP-003,周末起床时间别偏太多,ALIGNED,,ALIGNED,,ALIGNED,,ALIGNED,CONSENSUS_REACHED,
