case_id,case_type,scenario,runtime_context_summary,synthetic_memory_summary,gold_required_factors,preferred_task_titles,acceptable_task_titles,expected_status,gold_rationale,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes,review_status
"AGX-001","task","在家连续复习四十多分钟，只有十分钟空档，离睡觉还有约一小时，不想做活动，只想安静歇一下。","target_stage=primary_upper; current_context=home; activity_context=reading; available_minutes=10; safety_flags=all_false","无","behavior_need: continuous study needs interruption | time_constraint: only 10 minutes available | sleep_factor: bedtime in about one hour; avoid prolonging activity | soft_preference: explicitly does not want activity; prefers quiet rest","连续读写后的纯休息","连续读写后的远眺休息","allowed","连续读写后纯休息（10分钟、home）直接满足安静休息且不做活动；远眺休息同样安静低负担，但未完全贴合不想做任何动作的偏好。其余任务或需起身活动（SED/REC/OUT），或属屏幕学习/睡眠场景，不匹配。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-002","task","自习区连续写作业近一小时未起身，十分钟休息，既想放松眼睛又想活动腿脚。","target_stage=primary_upper; current_context=study_space; activity_context=writing; available_minutes=10; safety_flags=all_false","无","behavior_need: continuous writing needs eye relaxation | behavior_need: prolonged sitting needs movement | time_constraint: available break is 10 minutes","远眺加轻微活动的组合休息","写作业久坐后的起身活动 | 读写后的轻微活动 | 连续读写后的远眺休息","allowed","远眺+轻微活动组合同时覆盖眼部放松与久坐起身，10分钟、study_space 均匹配，是唯一同时回应两个健康需求的任务；其余方案只覆盖单一需求。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-003","task","自习室用笔记本上网课，开课前仅一分钟，发现屏幕离眼近。","target_stage=junior_high; current_context=study_space; activity_context=screen; available_minutes=1; safety_flags=all_false","无","behavior_need: screen too close during online class needs distance correction | context_constraint: in study space using laptop | time_constraint: only 1 minute before class starts","检查电脑观看距离","读写姿势快速复位","allowed","检查电脑观看距离（1分钟、study_space）精确命中屏幕过近问题；姿势复位为合理替代但针对读写姿势而非屏幕距离。10分钟类任务均因时间不足排除。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-004","task","学校连坐两节课未动，课间十分钟自由活动，不想剧烈跑动只想活动腿脚。","target_stage=junior_high; current_context=school; activity_context=other; available_minutes=10; safety_flags=all_false","无","behavior_need: prolonged sitting in class needs movement | context_constraint: at school during free recess | soft_preference: wants light movement, no vigorous running","课间离开座位活动","写作业久坐后的起身活动 | 读写后的户外休息","allowed","课间离开座位活动（school、10分钟）直接匹配课间离座与轻量活动；久坐起身任务与户外休息也可行但触发语义更弱。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-005","task","自习室连续坐一小时写作业，十分钟休息，想活动腿脚又不想太费劲。","target_stage=junior_high; current_context=study_space; activity_context=writing; available_minutes=10; safety_flags=all_false","task_feedback MT-SED-001 {partially_completed, helpfulness=2, burden=hard} (-3); task_feedback MT-REC-001 {completed, helpfulness=5, burden=easy} (+4)","behavior_need: prolonged sitting needs interruption | memory_preference: positive feedback prefers MT-REC-001 light activity | memory_preference: negative feedback dislikes MT-SED-001 standing task","读写后的轻微活动","远眺加轻微活动的组合休息 | 写作业久坐后的起身活动 | 连续读写后的远眺休息 | 连续读写后的纯休息","allowed","query 仅含当前状态与软偏好，历史信号只在 synthetic_memory_fixture；轻微活动解决久坐且获正向记忆加成，MT-SED-001 因负向记忆（软信号）降权但仍安全可接受。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-006","task","不方便起身走动，在家连续读书四十分钟，想休息十分钟但无法活动。","target_stage=senior_high; current_context=home; activity_context=reading; available_minutes=10; safety_flags=cannot_move=true","无","behavior_need: continuous reading needs interruption | safety_constraint: cannot move currently; movement tasks must be excluded | time_constraint: 10 minutes available","连续读写后的远眺休息","连续读写后的纯休息","allowed","cannot_move 由 SR-009 硬性排除起身/户外/轻微活动类任务；远眺休息无需移动且命中连续读写后休息触发，为最佳；纯休息同样无需移动。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-007","task","已到睡觉时间，床上还要用手机回一条重要消息，屏幕很亮，最多五分钟。","target_stage=senior_high; current_context=bedroom; activity_context=screen; available_minutes=5; safety_flags=all_false","无","behavior_need: reduce bright screen exposure before sleep | context_constraint: in bed at bedtime | time_constraint: only 5 minutes before lights-out | soft_preference: must finish one quick reply first","夜间减少高亮电子屏暴露","","allowed","夜间减少高亮屏暴露（bedroom、5分钟）既允许完成短消息又降低睡前亮屏暴露，为唯一首选；睡前停止使用设备与用户明确必须回消息的约束直接冲突，故 MT-SLEEP-001 判定为 invalid 而非 acceptable。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-008","task","晚上连续学习四十分钟，十分钟休息，一会儿要睡觉。","target_stage=primary_upper; current_context=home; activity_context=reading; available_minutes=10; safety_flags=all_false","task_preference MT-BREAK-001 {prefer_task} (+3)","behavior_need: continuous study needs interruption | sleep_factor: bedtime approaching; avoid stimulating activity | memory_preference: explicitly prefers MT-BREAK-001 far-view rest","连续读写后的远眺休息","连续读写后的纯休息","allowed","query 不含历史偏好表述，偏好信号只在 memory fixture；远眺休息在语义上匹配连续学习后休息，并获记忆偏好正加成，与纯休息之间的区分由隐藏记忆支撑。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-009","task","写作业坐一小时、眼睛酸，十分钟休息想一举两得。","target_stage=senior_high; current_context=study_space; activity_context=writing; available_minutes=10; safety_flags=all_false","task_feedback MT-SED-001 {partially_completed, helpfulness=2, burden=hard} (-3)","behavior_need: eye fatigue from close work needs relief | behavior_need: prolonged sitting needs movement | soft_preference: wants a combined rest for eyes and sitting | time_constraint: 10 minutes available","远眺加轻微活动的组合休息","读写后的轻微活动 | 写作业久坐后的起身活动 | 连续读写后的远眺休息 | 连续读写后的纯休息","allowed","组合休息同时覆盖眼部放松与久坐起身；MT-SED-001 因负向记忆（软信号）降权但保持安全可接受。query 不含历史记忆表述。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-010","task","学校机房马上上课，用电脑时发现屏幕离眼近，只剩一分钟。","target_stage=junior_high; current_context=school; activity_context=screen; available_minutes=1; safety_flags=all_false","无","behavior_need: screen too close needs distance correction | context_constraint: in school computer room | time_constraint: only 1 minute before class","检查电脑观看距离","读写姿势快速复位","allowed","检查电脑观看距离（1分钟、school）精确命中；姿势复位为合理替代。10分钟类任务因时间不足排除。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-011","task","已到平时睡觉时间，事情做完但习惯睡前刷手机。","target_stage=senior_high; current_context=bedroom; activity_context=other; available_minutes=1; safety_flags=all_false","task_feedback MT-SLEEP-002 {completed, helpfulness=5, burden=easy} (+4)","behavior_need: maintain fixed sleep schedule | context_constraint: at usual bedtime in bedroom | memory_preference: found MT-SLEEP-002 helpful before | soft_preference: habitually scrolls phone before bed","今晚按平时固定时间睡觉","睡前停止玩手机和电子产品","allowed","query 仅描述当前睡前刷手机习惯，历史执行效果只在 memory fixture；固定时间睡觉任务命中当前时刻并获正向记忆加成。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-012","task","晚上在家写作业，光线暗，马上要继续写，只有两分钟整理。","target_stage=primary_upper; current_context=home; activity_context=reading; available_minutes=2; safety_flags=all_false","无","behavior_need: poor lighting harms reading eye health | context_constraint: evening study at home | time_constraint: only 2 minutes to fix setup","换到合适光线再读写","晚间学习同时开台灯和顶灯","allowed","换到合适光线（2分钟、home）直接命中光线暗弱；开顶灯同为光线改善但场景更窄（须已有台灯）。10分钟类任务时间不足。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-013","task","在家连续读书四十分钟，十分钟休息，阳台楼下可去。","target_stage=junior_high; current_context=home; activity_context=reading; available_minutes=10; safety_flags=all_false","task_feedback MT-OUT-001 {completed, helpfulness=5, burden=easy} (+4)","behavior_need: continuous reading needs interruption | context_constraint: outdoor space accessible from home | memory_preference: positive feedback prefers MT-OUT-001 outdoor rest","读写后的户外休息","连续读写后的远眺休息 | 连续读写后的纯休息 | 读写后的轻微活动 | 远眺加轻微活动的组合休息","allowed","query 不含历史体验表述，户外偏好信号只在 memory fixture；户外休息直接利用可户外条件并获正向记忆加成。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-014","task","周六，上学日七点起，昨晚睡得不算早，考虑周末睡到十点。","target_stage=senior_high; current_context=home; activity_context=other; available_minutes=1; safety_flags=all_false","无","sleep_factor: weekend wake-time deviation from school days | context_constraint: weekend at home | soft_preference: wants to sleep in later on weekend","周末起床时间别偏太多","今晚按平时固定时间睡觉","allowed","周末起床时间任务约束周末与上学日起床时间的偏差（睡到十点明显偏晚，应适当调整），gold 不断言具体小时数；固定时间睡觉与作息相关但针对入睡时刻，语义略弱。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-015","task","连续看书写字四十多分钟眼睛累，十分钟休息。","target_stage=junior_high; current_context=home; activity_context=reading; available_minutes=10; safety_flags=all_false","task_feedback MT-BREAK-001 {skipped, helpfulness=2, burden=hard} (-3)","behavior_need: eye fatigue from close work needs a break | memory_preference: negative feedback dislikes far-view-only rest | soft_preference: wants a rest style that is easy to sustain","连续读写后的纯休息","连续读写后的远眺休息 | 读写后的轻微活动 | 远眺加轻微活动的组合休息","allowed","query 不含历史记忆表述；纯休息避开负向记忆的远眺方式且仍满足连续读写后休息，含远眺成分的方案因负向记忆弱化但保持安全可接受。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-016","task","学校连续写四十分钟作业，课间十分钟，操场维修不能去户外，只能室内走廊走。","target_stage=primary_upper; current_context=school; activity_context=writing; available_minutes=10; safety_flags=all_false","无","behavior_need: continuous writing needs a break from close work | context_constraint: school recess with outdoor unavailable | soft_preference: wants light indoor movement only","课间离开座位活动","写作业久坐后的起身活动 | 读写后的轻微活动 | 远眺加轻微活动的组合休息 | 连续读写后的远眺休息","allowed","课间离座活动（school、10分钟）匹配课间且不要求户外；户外休息任务因操场不可用被排除（环境不匹配）。","","","","","","","","","pending_multi_reviewer_consensus"
"AGX-017","task","自习室电脑上网课，开课仅一分钟，屏幕离眼近。","target_stage=junior_high; current_context=study_space; activity_context=screen; available_minutes=1; safety_flags=all_false","task_feedback MT-EYE-005 {partially_completed, helpfulness=2, burden=acceptable} (-2)","behavior_need: screen too close needs correction before class | time_constraint: only 1 minute before class | memory_preference: negative feedback finds MT-EYE-005 unhelpful","读写姿势快速复位","检查电脑观看距离","allowed","query 不含历史记忆表述；姿势复位作为屏幕学习前调整避开负向记忆任务，原任务本身仍安全匹配故为可接受。","","","","","","","","","pending_multi_reviewer_consensus"
