case_id,domain,query,chunk_id,chunk_title,chunk_role,relevance_draft,chunk_content,source_document_id,source_locator,draft_reason,human_decision,human_notes
KRG-001,eye_health,中学生每天用于娱乐的屏幕时间一般应控制在什么范围？,KC-SRC-001-003,学生常见病多病共防技术指南,behavior_guidance,2,（3）以娱乐为目的的视屏时间每天小于1小时。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L109-L109,KC-SRC-001-003直接给出娱乐视屏的每日上限；KC-SRC-003-004B补充单次非学习使用边界，KC-SRC-007-002提供避免长时间注视屏幕的背景原则。,approve,
KRG-001,eye_health,中学生每天用于娱乐的屏幕时间一般应控制在什么范围？,KC-SRC-003-004B,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,1,非学习目的使用电子产品每次不超过15分钟。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L224-L224,KC-SRC-001-003直接给出娱乐视屏的每日上限；KC-SRC-003-004B补充单次非学习使用边界，KC-SRC-007-002提供避免长时间注视屏幕的背景原则。,approve,
KRG-001,eye_health,中学生每天用于娱乐的屏幕时间一般应控制在什么范围？,KC-SRC-007-002,学生常见病多病共防“十要义”,behavior_guidance,1,5.科学规划学习和娱乐时间，避免长时间注视屏幕。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L18-L18,KC-SRC-001-003直接给出娱乐视屏的每日上限；KC-SRC-003-004B补充单次非学习使用边界，KC-SRC-007-002提供避免长时间注视屏幕的背景原则。,reject,Too broad to provide useful partial credit for this information need.
KRG-002,eye_health,不是为了学习而使用电子产品时，单次使用时长有什么建议？,KC-SRC-003-004B,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,非学习目的使用电子产品每次不超过15分钟。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L224-L224,KC-SRC-003-004B直接规定非学习用途的单次时长；KC-SRC-001-003提供每日娱乐视屏边界，KC-SRC-007-002提供一般屏幕规划原则。,approve,
KRG-002,eye_health,不是为了学习而使用电子产品时，单次使用时长有什么建议？,KC-SRC-001-003,学生常见病多病共防技术指南,behavior_guidance,1,（3）以娱乐为目的的视屏时间每天小于1小时。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L109-L109,KC-SRC-003-004B直接规定非学习用途的单次时长；KC-SRC-001-003提供每日娱乐视屏边界，KC-SRC-007-002提供一般屏幕规划原则。,approve,
KRG-002,eye_health,不是为了学习而使用电子产品时，单次使用时长有什么建议？,KC-SRC-007-002,学生常见病多病共防“十要义”,behavior_guidance,1,5.科学规划学习和娱乐时间，避免长时间注视屏幕。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L18-L18,KC-SRC-003-004B直接规定非学习用途的单次时长；KC-SRC-001-003提供每日娱乐视屏边界，KC-SRC-007-002提供一般屏幕规划原则。,reject,Too broad to provide useful partial credit for this information need.
KRG-003,eye_health,写作业时，眼睛、胸口和握笔手分别应与书本、桌边和笔尖保持怎样的距离？,KC-SRC-003-002,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,保持正确的读写姿势，做到“一拳一尺一寸”；不在走路、吃饭、卧床时、晃动的车厢内、光线暗弱或阳光直射等情况下看书或使用电子产品。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L220-L220,KC-SRC-003-002与KC-SRC-008-008都直接说明一拳一尺一寸的读写姿势，其中后者还给出厘米换算；KC-SRC-008-001说明姿势不良属于用眼风险行为。,approve,
KRG-003,eye_health,写作业时，眼睛、胸口和握笔手分别应与书本、桌边和笔尖保持怎样的距离？,KC-SRC-008-008,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,2,我不在躺卧的情况下看书或使用电子产品。读写时，我的眼睛距离书本大于一尺（33厘米）、胸口距离桌子边沿大约一拳、手指距离笔尖保持一寸（3.3厘米）左右。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L273-L277,KC-SRC-003-002与KC-SRC-008-008都直接说明一拳一尺一寸的读写姿势，其中后者还给出厘米换算；KC-SRC-008-001说明姿势不良属于用眼风险行为。,approve,
KRG-003,eye_health,写作业时，眼睛、胸口和握笔手分别应与书本、桌边和笔尖保持怎样的距离？,KC-SRC-008-001,儿童青少年近视防控公共卫生综合干预技术指南,background_evidence,1,针对不同学龄阶段学生，运用《幼儿园和小学1-3年级学生用眼行为评价表（家长版）》和《小学4-6年级与中学生用眼行为评价表（学生版）》评价幼儿园至高中学生用眼行为，识别影响儿童青少年近视的风险行为因素，如户外活动时间不足、电子产品使用过多、睡眠不足或社会时差大、读写姿势不良、视觉环境不达标、眼放松行为较少等。针对具体风险因素，教师和家长有针对性地改变儿童青少年的不良用眼行为。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L15-L25,KC-SRC-003-002与KC-SRC-008-008都直接说明一拳一尺一寸的读写姿势，其中后者还给出厘米换算；KC-SRC-008-001说明姿势不良属于用眼风险行为。,reject,Too broad to provide useful partial credit for this information need.
KRG-004,eye_health,哪些身体状态或光线环境下不适合看书或看电子屏幕？,KC-SRC-003-002,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,保持正确的读写姿势，做到“一拳一尺一寸”；不在走路、吃饭、卧床时、晃动的车厢内、光线暗弱或阳光直射等情况下看书或使用电子产品。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L220-L220,KC-SRC-003-002直接列出走路、吃饭、卧床、晃动车厢、暗光和阳光直射等情形；KC-SRC-008-008补充不躺卧使用，KC-SRC-008-001提供风险行为背景。,approve,
KRG-004,eye_health,哪些身体状态或光线环境下不适合看书或看电子屏幕？,KC-SRC-008-008,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,1,我不在躺卧的情况下看书或使用电子产品。读写时，我的眼睛距离书本大于一尺（33厘米）、胸口距离桌子边沿大约一拳、手指距离笔尖保持一寸（3.3厘米）左右。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L273-L277,KC-SRC-003-002直接列出走路、吃饭、卧床、晃动车厢、暗光和阳光直射等情形；KC-SRC-008-008补充不躺卧使用，KC-SRC-008-001提供风险行为背景。,approve,
