task_id,weilv_domain,weilv_title,heartsteps_source_concept,status,allowed_interpretation,prohibited_interpretation
MT-BREAK-001,study_break,连续读写后的远眺休息,"walking/antisedentary suggestion; 30-minute steps",NOT_SUPPORTED,"none","walking response validates visual-distance rest or a 40-minute reading trigger"
MT-BREAK-002,study_break,电子学习后的离屏远眺,"walking/antisedentary suggestion; 30-minute steps",NOT_SUPPORTED,"none","walking response validates screen breaks or distance viewing"
MT-BREAK-003,study_break,连续读写后的纯休息,"walking/antisedentary suggestion; 30-minute steps",NOT_SUPPORTED,"none","walking response validates non-activity rest after reading"
MT-BREAK-004,study_break,课间离开座位活动,"antisedentary suggestion; walking outcome",COARSE_DOMAIN_ONLY,"movement/antisedentary affinity may be studied as an archetype after product real-user data exist","HeartSteps validates the school-break trigger, leaving the classroom, duration, or youth effectiveness"
MT-SED-001,sedentary,写作业久坐后的起身活动,"antisedentary suggestion; walking outcome",COARSE_DOMAIN_ONLY,"coarse antisedentary/movement archetype only","HeartSteps validates homework context, one-hour trigger, ten-minute duration, or this exact task"
MT-SED-002,sedentary,娱乐久坐后的起身活动,"antisedentary suggestion; walking outcome",COARSE_DOMAIN_ONLY,"coarse antisedentary/movement archetype only","HeartSteps validates entertainment context, one-hour trigger, ten-minute duration, or this exact task"
MT-EYE-001,eye_health,读写姿势快速复位,"none",NOT_SUPPORTED,"none","physical-activity response validates reading posture"
MT-EYE-002,eye_health,停止躺着看书或看屏幕,"none",NOT_SUPPORTED,"none","physical-activity response validates posture/device-use advice"
MT-EYE-003,eye_health,移动场景先暂停阅读,"in-transit availability field",NOT_SUPPORTED,"in-transit may inform availability only","an availability/safety field validates pausing reading in moving scenes"
MT-EYE-004,eye_health,换到合适光线再读写,"weather/location context",NOT_SUPPORTED,"context field only","weather/location validates lighting or eye-health action"
MT-EYE-005,eye_health,检查电脑观看距离,"none",NOT_SUPPORTED,"none","walking response validates a 50 cm screen-distance task"
MT-EYE-006,eye_health,检查手机观看距离,"none",NOT_SUPPORTED,"none","walking response validates a 40 cm phone-distance task"
MT-EYE-007,eye_health,晚间学习同时开台灯和顶灯,"none",NOT_SUPPORTED,"none","walking response validates room-lighting advice"
MT-EYE-008,eye_health,有条件时选择更大屏幕学习,"foreground app context",NOT_SUPPORTED,"app field excluded from primary model","phone app context validates screen-size advice"
MT-SLEEP-001,sleep,睡前停止玩手机和电子产品,"none",NOT_SUPPORTED,"none","daytime walking response validates sleep or device cessation"
MT-SLEEP-002,sleep,今晚按平时固定时间睡觉,"none",NOT_SUPPORTED,"none","walking response validates sleep timing"
MT-SLEEP-003,sleep,周末起床时间别偏太多,"none",NOT_SUPPORTED,"none","walking response validates weekend wake-time regularity"
MT-SLEEP-004,sleep,夜间减少高亮电子屏暴露,"none",NOT_SUPPORTED,"none","walking response validates night-screen exposure advice"
MT-SLEEP-005,sleep,睡觉时关闭夜灯,"none",NOT_SUPPORTED,"none","walking response validates night-light advice"
MT-SLEEP-006,sleep,夜间把卧室光线挡暗一些,"none",NOT_SUPPORTED,"none","walking response validates bedroom-darkness advice"
MT-OUT-001,outdoor,读写后的户外休息,"outdoor/location/weather context; walking suggestions",NOT_SUPPORTED,"outdoor fields may condition HeartSteps actions only","being outdoors or receiving a walking message validates an outdoor rest task after reading"
MT-REC-001,light_recovery,读写后的轻微活动,"walking/antisedentary suggestion; 30-minute steps",COARSE_DOMAIN_ONLY,"coarse light-movement affinity only","HeartSteps validates reading trigger, recovery framing, duration, or exact task"
MT-REC-002,light_recovery,远眺加轻微活动的组合休息,"walking/antisedentary suggestion; 30-minute steps",COARSE_DOMAIN_ONLY,"coarse movement component only","HeartSteps validates distance viewing, the combined task, reading trigger, or duration"

