case_id,gold_factor_position,gold_factor_type,gold_factor_description,agentic_factor_count,agentic_factor_summary,covered,evidence
AGX-001,1,behavior_need,continuous study needs interruption,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,true,F1(study_break): 连续用眼需休息
AGX-001,2,time_constraint,only 10 minutes available,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,true,F2/F3 subquery time consideration; explanation '当前可用时间较短'
AGX-001,3,sleep_factor,bedtime in about one hour; avoid prolonging activity,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,true,F3(sleep): explanation '后续睡眠准备'
AGX-001,4,soft_preference,explicitly does not want activity; prefers quiet rest,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,true,F2(sedentary): explanation '倾向安静…无需强体力投入'
AGX-002,1,behavior_need,continuous writing needs eye relaxation,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,true,F2(eye_health): 远眺缓解视疲劳
AGX-002,2,behavior_need,prolonged sitting needs movement,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,true,F3(physical_activity): 起身活动改善循环
AGX-002,3,time_constraint,available break is 10 minutes,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,true,F4: explanation '起身活动10分钟'
AGX-003,1,behavior_need,screen too close during online class needs distance correction,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,true,F1(eye_health): 屏幕距离修正
AGX-003,2,context_constraint,in study space using laptop,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,false,no explicit study-space context in recorded decomposition evidence
AGX-003,3,time_constraint,only 1 minute before class starts,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,true,explanation '当前可用时间较短'
AGX-004,1,behavior_need,prolonged sitting in class needs movement,4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,true,F1(sedentary): 久坐后需活动
AGX-004,2,context_constraint,at school during free recess,4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,true,F2: explanation '课间离座…走出教室'
AGX-004,3,soft_preference,"wants light movement, no vigorous running",4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,true,F3/F4: explanation '轻度活动…避免剧烈运动'
AGX-005,1,behavior_need,prolonged sitting needs interruption,4,F1:physical_activity | F2:study_break | F3:physical_activity | F4:physical_activity,true,F1(physical_activity): 久坐后需轻度活动
AGX-005,2,memory_preference,positive feedback prefers MT-REC-001 light activity,4,F1:physical_activity | F2:study_break | F3:physical_activity | F4:physical_activity,false,"memory_preference hidden from query by design (leakage=0); handled by memory pipeline, not decomposition"
