case_id,system,isolated_runtime_user_id,fixture_task_ids,memory_ids,memory_retrieval_hit,agentic_memory_hit_count,agentic_retrieved_memory_ids,memory_used_on_selected,memory_ids_on_selected,personalization_delta,selected_task_id
AGX-005,personal,stage8-AGX-005-personal,MT-SED-001|MT-REC-001,UM-9894138dc483aca74066e2c30363f81c2aab47bd064787748535ea6b6d47276d|UM-c599059122014e8921b971a2db8de704aeffc7a17ebcff1e684ba93f7c9e5ee4,,,,True,UM-c599059122014e8921b971a2db8de704aeffc7a17ebcff1e684ba93f7c9e5ee4,4,MT-REC-001
AGX-005,agentic,stage8-AGX-005-agentic,MT-SED-001|MT-REC-001,UM-b6c60c24fc325dfa920bbb11a75521eaa2925985e8590ae55fcc016682dd470c|UM-915c03a36d333a6e4242690693dcf2f6a0b61c3af5af855491e137cb090c3e75,,2,,True,UM-915c03a36d333a6e4242690693dcf2f6a0b61c3af5af855491e137cb090c3e75,4,MT-REC-001
AGX-008,personal,stage8-AGX-008-personal,MT-BREAK-001,UM-660385c4c96e0aecd45e7246444d992e00c73d538cfeda7516a03bea965f5338,,,,False,,0,MT-REC-002
AGX-008,agentic,stage8-AGX-008-agentic,MT-BREAK-001,UM-5a58d961c4259ffe5c55bdca3d04135125036664954bddd96ae5b2a08ea68563,,1,,False,,0,MT-REC-002
AGX-009,personal,stage8-AGX-009-personal,MT-SED-001,UM-5db96b47888e034cb2ffe94210305075c8bb77e425eb90e3667f9678ee3df9f6,,,,False,,0,MT-REC-002
AGX-009,agentic,stage8-AGX-009-agentic,MT-SED-001,UM-5413388cb2f66d92cf45061aa9b68e0471dfc20be3756b97255640aea186d6e3,,1,,False,,0,MT-REC-002
AGX-011,personal,stage8-AGX-011-personal,MT-SLEEP-002,UM-6b02785b22aaa780d0a8893176818cb492ef2b02a1dc468e908430ee48aa66a6,,,,True,UM-6b02785b22aaa780d0a8893176818cb492ef2b02a1dc468e908430ee48aa66a6,4,MT-SLEEP-002
AGX-011,agentic,stage8-AGX-011-agentic,MT-SLEEP-002,UM-ad0ffeab7f0d533a8b8a808ab53e7603f1f1af72d952fab5cee1a9e8e801591d,,1,,True,UM-ad0ffeab7f0d533a8b8a808ab53e7603f1f1af72d952fab5cee1a9e8e801591d,4,MT-SLEEP-002
AGX-013,personal,stage8-AGX-013-personal,MT-OUT-001,UM-8e2d5f062f7389aac9480bea300d3fecbb0ab8c60573f6a7959bfb8f85f6bf64,,,,True,UM-8e2d5f062f7389aac9480bea300d3fecbb0ab8c60573f6a7959bfb8f85f6bf64,4,MT-OUT-001
AGX-013,agentic,stage8-AGX-013-agentic,MT-OUT-001,UM-c6995c9f9db581b7b00a99d5e5b4f9b1f389606282c40c24fffe4b7b6bd9b4ab,,1,,True,UM-c6995c9f9db581b7b00a99d5e5b4f9b1f389606282c40c24fffe4b7b6bd9b4ab,4,MT-OUT-001
AGX-015,personal,stage8-AGX-015-personal,MT-BREAK-001,UM-6bce240959961321cb97cc65edd2b4e1d9501c7faca910a292da506236ab2c3c,,,,False,,0,MT-REC-002
AGX-015,agentic,stage8-AGX-015-agentic,MT-BREAK-001,UM-751e85717bc9c99717531d879438dcd2f6cba54f5c4fd076ada4c8e53948e5b6,,1,,False,,0,MT-REC-002
AGX-017,personal,stage8-AGX-017-personal,MT-EYE-005,UM-8aef93da42be07d736d6d4d388073a537e525a558e233b10a5b35f081103744b,,,,False,,0,MT-EYE-008
AGX-017,agentic,stage8-AGX-017-agentic,MT-EYE-005,UM-bf077dd4f58b8ebc8f84cce725c4d451119341b586aa4d2b7269786854013530,,1,,False,,0,MT-EYE-002
AGX-018,personal,stage8-AGX-018-personal,MT-SED-002,UM-eb3db96c899c71a53813be45ccce8455ed25925b8c3151aaea33d6cc5c75afbb,,,,True,UM-eb3db96c899c71a53813be45ccce8455ed25925b8c3151aaea33d6cc5c75afbb,4,MT-SED-002
AGX-018,agentic,stage8-AGX-018-agentic,MT-SED-002,UM-e047af62c79d4134626a9af4dc294631032d116e06cd7e7f157a0cbcb41ef2cf,,1,,True,UM-e047af62c79d4134626a9af4dc294631032d116e06cd7e7f157a0cbcb41ef2cf,4,MT-SED-002
AGX-020,personal,stage8-AGX-020-personal,MT-SLEEP-004,UM-067e49cbd05a6a27cfeedb7dd53cae1130301dddb9b567a10ee05287b75b38f1,,,,False,,0,MT-EYE-002
AGX-020,agentic,stage8-AGX-020-agentic,MT-SLEEP-004,UM-80bef3ee4d77fff9d8fa4e3913091ff788a1746dbf371a5d12af172ef3e13ad7,,1,,False,,0,MT-EYE-002
