case_id,scenario,gold_factor_position,gold_factor_type,gold_factor_description,agentic_factor_count,agentic_factor_summary,recorded_agentic_evidence,reviewer_A_covered,reviewer_A_notes,reviewer_B_covered,reviewer_B_notes,reviewer_C_covered,reviewer_C_notes,consensus_covered,consensus_status,consensus_notes
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,1,behavior_need,continuous study needs interruption,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,2,time_constraint,only 10 minutes available,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,3,sleep_factor,bedtime in about one hour; avoid prolonging activity,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,4,soft_preference,explicitly does not want activity; prefers quiet rest,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-002,我在自习区连续写了快一小时作业，中间一次都没起来过。现在有十分钟休息，既想放松眼睛，又想活动一下腿脚，怎么安排最合适？,1,behavior_need,continuous writing needs eye relaxation,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,"domains=['study_break', 'eye_health', 'physical_activity', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-001-003,KC-SRC-008-006,KC-SRC-007-003,KC-SRC-003-004A; F2:KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-007-003; F3:KC-SRC-007-003,KC-SRC-001-005,KC-SRC-007-004,KC-SRC-007-002,KC-SRC-001-004; F4:KC-SRC-007-003,KC-SRC-008-005,KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003 | explanation=该任务精准匹配连续久坐后的双重需求：既通过起身活动改善下肢循环，又借机远眺或眼保健操缓解视疲劳。任务证据明确支持“久坐1小时后起身活动10分钟”这一做法，与用户当前状态高度契合，且无需额外工具或环境，即刻可执行。",,,,,,,,,
AGX-002,我在自习区连续写了快一小时作业，中间一次都没起来过。现在有十分钟休息，既想放松眼睛，又想活动一下腿脚，怎么安排最合适？,2,behavior_need,prolonged sitting needs movement,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,"domains=['study_break', 'eye_health', 'physical_activity', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-001-003,KC-SRC-008-006,KC-SRC-007-003,KC-SRC-003-004A; F2:KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-007-003; F3:KC-SRC-007-003,KC-SRC-001-005,KC-SRC-007-004,KC-SRC-007-002,KC-SRC-001-004; F4:KC-SRC-007-003,KC-SRC-008-005,KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003 | explanation=该任务精准匹配连续久坐后的双重需求：既通过起身活动改善下肢循环，又借机远眺或眼保健操缓解视疲劳。任务证据明确支持“久坐1小时后起身活动10分钟”这一做法，与用户当前状态高度契合，且无需额外工具或环境，即刻可执行。",,,,,,,,,
AGX-002,我在自习区连续写了快一小时作业，中间一次都没起来过。现在有十分钟休息，既想放松眼睛，又想活动一下腿脚，怎么安排最合适？,3,time_constraint,available break is 10 minutes,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:sedentary,"domains=['study_break', 'eye_health', 'physical_activity', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-001-003,KC-SRC-008-006,KC-SRC-007-003,KC-SRC-003-004A; F2:KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-007-003; F3:KC-SRC-007-003,KC-SRC-001-005,KC-SRC-007-004,KC-SRC-007-002,KC-SRC-001-004; F4:KC-SRC-007-003,KC-SRC-008-005,KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003 | explanation=该任务精准匹配连续久坐后的双重需求：既通过起身活动改善下肢循环，又借机远眺或眼保健操缓解视疲劳。任务证据明确支持“久坐1小时后起身活动10分钟”这一做法，与用户当前状态高度契合，且无需额外工具或环境，即刻可执行。",,,,,,,,,
AGX-003,我在自习室用笔记本电脑上网课，老师马上开课，只剩一分钟准备时间。我发现屏幕离眼睛有点近，先做什么合适？,1,behavior_need,screen too close during online class needs distance correction,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-008-002A,KC-SRC-008-004; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-007-002; F4:KC-SRC-008-002A,KC-SRC-008-002B,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-001-004 | explanation=当前可用时间较短，且屏幕距离过近可能加剧视觉负担；任务指令明确要求检查并调整至不小于50厘米，操作简单、即时有效；环境光照与坐姿调整需更长时间，优先级低于紧急距离修正。",,,,,,,,,
AGX-003,我在自习室用笔记本电脑上网课，老师马上开课，只剩一分钟准备时间。我发现屏幕离眼睛有点近，先做什么合适？,2,context_constraint,in study space using laptop,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-008-002A,KC-SRC-008-004; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-007-002; F4:KC-SRC-008-002A,KC-SRC-008-002B,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-001-004 | explanation=当前可用时间较短，且屏幕距离过近可能加剧视觉负担；任务指令明确要求检查并调整至不小于50厘米，操作简单、即时有效；环境光照与坐姿调整需更长时间，优先级低于紧急距离修正。",,,,,,,,,
AGX-003,我在自习室用笔记本电脑上网课，老师马上开课，只剩一分钟准备时间。我发现屏幕离眼睛有点近，先做什么合适？,3,time_constraint,only 1 minute before class starts,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-003-002,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-008-002A,KC-SRC-008-004; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-007-002; F4:KC-SRC-008-002A,KC-SRC-008-002B,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-001-004 | explanation=当前可用时间较短，且屏幕距离过近可能加剧视觉负担；任务指令明确要求检查并调整至不小于50厘米，操作简单、即时有效；环境光照与坐姿调整需更长时间，优先级低于紧急距离修正。",,,,,,,,,
AGX-004,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,1,behavior_need,prolonged sitting in class needs movement,4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,"domains=['sedentary', 'physical_activity', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-003-004A,KC-SRC-004-003; F2:KC-SRC-008-004,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005; F3:KC-SRC-001-005,KC-SRC-008-005,KC-SRC-007-003,KC-SRC-004-005,KC-SRC-008-006; F4:KC-SRC-008-006,KC-SRC-001-005,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-008-005 | explanation=该任务契合久坐后需轻度活动腿脚的需求，课间离座活动既避免剧烈运动，又响应“走出教室”指令与护眼监督要求，符合当前可用时间较短、目标明确的实际情况。",,,,,,,,,
