experiment,metric,method,value,n,provenance_level,run_id
independent_personalization,preference_utility_at_1,Basic RAG,0.08333333333333333,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,preference_utility_at_1,Personal RAG,0.5833333333333334,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,preferred_top1_rate,Basic RAG,0.16666666666666666,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,preferred_top1_rate,Personal RAG,0.5833333333333334,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,avoided_top1_rate,Basic RAG,0.09090909090909091,22,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,avoided_top1_rate,Personal RAG,0.0,22,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,mean_preferred_rank,Basic RAG,3.7083333333333335,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,mean_preferred_rank,Personal RAG,2,24,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,mean_avoided_rank,Basic RAG,4.318181818181818,22,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,mean_avoided_rank,Personal RAG,6.409090909090909,22,A+C,20260816T081544Z_personal_rag_independent_v1
independent_personalization,candidate_set_invariance,Personal RAG,1.0,24,A+C,20260816T081544Z_personal_rag_independent_v1
