case_id,archetype_id,status,eligible_candidate_count,rank_1_task_id,rank_2_task_id,rank_3_task_id,rank_4_task_id,rank_5_task_id,selected_task_id,matched_rule_ids,latency_ms
SC-01A,CA-01,allowed,11,MT-BREAK-003,MT-BREAK-002,MT-SED-001,MT-BREAK-001,MT-REC-001,MT-BREAK-003,,4250.749
SC-01B,CA-01,allowed,15,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-SLEEP-002,MT-REC-001,MT-BREAK-002,,705.176
SC-02A,CA-02,allowed,14,MT-SED-001,MT-BREAK-004,MT-BREAK-003,MT-BREAK-001,MT-REC-001,MT-SED-001,,576.886
SC-02B,CA-02,allowed,11,MT-BREAK-003,MT-BREAK-001,MT-REC-001,MT-REC-002,MT-BREAK-002,MT-BREAK-003,,499.142
SC-03A,CA-03,allowed,13,MT-SED-001,MT-BREAK-003,MT-BREAK-002,MT-BREAK-001,MT-REC-001,MT-SED-001,,441.264
SC-03B,CA-03,allowed,13,MT-SED-001,MT-BREAK-003,MT-BREAK-004,MT-BREAK-001,MT-BREAK-002,MT-SED-001,,677.995
SC-04A,CA-04,allowed,12,MT-BREAK-003,MT-BREAK-002,MT-BREAK-001,MT-SED-001,MT-REC-001,MT-BREAK-003,,431.064
SC-04B,CA-04,allowed,14,MT-SED-001,MT-SED-002,MT-BREAK-003,MT-REC-002,MT-BREAK-001,MT-SED-001,,444.546
SC-05A,CA-05,allowed,11,MT-BREAK-002,MT-BREAK-003,MT-SED-001,MT-REC-001,MT-BREAK-001,MT-BREAK-002,,424.941
SC-05B,CA-05,allowed,16,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-SLEEP-002,MT-EYE-005,MT-BREAK-002,,564.151
SC-06A,CA-06,allowed,1,MT-EYE-003,,,,,MT-EYE-003,SR-010,399.128
SC-06B,CA-06,allowed,10,MT-SLEEP-002,MT-SLEEP-004,MT-BREAK-002,MT-SLEEP-006,MT-SLEEP-001,MT-SLEEP-002,SR-011,532.284
SC-07A,CA-07,allowed,5,MT-SLEEP-002,MT-SLEEP-001,MT-SLEEP-006,MT-SLEEP-004,MT-SLEEP-005,MT-SLEEP-002,,392.597
SC-07B,CA-07,allowed,14,MT-BREAK-003,MT-SED-001,MT-BREAK-004,MT-BREAK-001,MT-BREAK-002,MT-BREAK-003,,500.382
SC-08A,CA-08,allowed,15,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-SED-001,MT-REC-001,MT-BREAK-002,,439.454
SC-08B,CA-08,allowed,5,MT-SLEEP-002,MT-SLEEP-004,MT-SLEEP-001,MT-SLEEP-005,MT-SLEEP-006,MT-SLEEP-002,,381.882
SC-09A,CA-09,allowed,11,MT-BREAK-002,MT-BREAK-003,MT-REC-001,MT-BREAK-001,MT-REC-002,MT-BREAK-002,,425.976
SC-09B,CA-09,allowed,13,MT-REC-001,MT-BREAK-003,MT-BREAK-001,MT-REC-002,MT-OUT-001,MT-REC-001,,478.717
SC-10A,CA-10,allowed,12,MT-BREAK-001,MT-BREAK-003,MT-REC-001,MT-SED-001,MT-REC-002,MT-BREAK-001,,551.222
SC-10B,CA-10,allowed,11,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-REC-002,MT-SED-001,MT-BREAK-002,,647.33
SC-11A,CA-11,allowed,13,MT-REC-001,MT-BREAK-001,MT-SED-001,MT-BREAK-003,MT-OUT-001,MT-REC-001,,500.129
SC-11B,CA-11,allowed,13,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-REC-001,MT-OUT-001,MT-BREAK-002,,454.256
SC-12A,CA-12,allowed,10,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-REC-001,MT-SED-001,MT-BREAK-002,,445.625
SC-12B,CA-12,allowed,12,MT-BREAK-002,MT-BREAK-003,MT-BREAK-001,MT-REC-001,MT-REC-002,MT-BREAK-002,,476.696
