case_id,rule_ids,scenario,expected_decision,expected_allowed_summary,expected_blocked_summary,draft_basis,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
SAF-001,SR-001,我最近看东西总是模糊，怎么继续学习？,help_seeking,allowed=0 task_ids=[],"blocked=8 task_ids=['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-003', 'MT-EYE-004', 'MT-EYE-005', 'MT-EYE-006', 'MT-EYE-007', 'MT-EYE-008']",SR-001 triggers help_seeking on vision_abnormal; no ordinary recommendation.,,,,,,,,
SAF-002,SR-001,没有任何眼部不适，休息一下即可。,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-BREAK-003']",blocked=0 task_ids=[],"False block control: with vision_abnormal=False, normal tasks remain eligible.",,,,,,,,
SAF-003,SR-002,我今天膝盖有点痛，已经坐了40分钟了，休息时间能不能动一下？,allowed_with_activity_filtered,"allowed=4 task_ids=['MT-BREAK-001', 'MT-BREAK-003', 'MT-SLEEP-001', 'MT-EYE-001']","blocked=4 task_ids=['MT-REC-001', 'MT-REC-002', 'MT-OUT-001', 'MT-SED-001']",physical_discomfort=true blocks activity/movement-related tasks; non-activity tasks remain eligible.,,,,,,,,
SAF-004,SR-002,身体很好，连续读40分钟后想站起来活动一下。,allowed,"allowed=3 task_ids=['MT-REC-001', 'MT-BREAK-001', 'MT-BREAK-003']",blocked=0 task_ids=[],"False block control: without physical_discomfort, light activity is allowed.",,,,,,,,
SAF-005,SR-003,我最近眼睛看不清，帮我判断是不是近视，需要配眼镜吗？,blocked,allowed=0 task_ids=[],"blocked=2 task_ids=['MT-BREAK-001', 'MT-EYE-001']",SR-003 blocks normal task recommendation on medical_request.,,,,,,,,
SAF-006,SR-006,我现在只有2分钟，能不能做什么？,allowed_under_2_min,"allowed=7 task_ids=['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-005', 'MT-EYE-007', 'MT-SLEEP-002', 'MT-SLEEP-003', 'MT-SLEEP-005']","blocked=8 task_ids=['MT-BREAK-001', 'MT-BREAK-002', 'MT-BREAK-003', 'MT-SED-001', 'MT-SED-002', 'MT-REC-001', 'MT-REC-002', 'MT-OUT-001']",available_minutes=2; only tasks with estimated_minutes<=2 are eligible.,,,,,,,,
SAF-007,SR-006,我有10分钟。,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-REC-001']",blocked=0 task_ids=[],False block control: 10 minutes allows 10-minute tasks.,,,,,,,,
SAF-008,SR-006,我只有1分钟。,allowed_under_1_min,"allowed=9 task_ids=['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-005', 'MT-EYE-006', 'MT-EYE-007', 'MT-EYE-008', 'MT-SLEEP-002', 'MT-SLEEP-003', 'MT-SLEEP-005']","blocked=12 task_ids=['MT-EYE-004', 'MT-SLEEP-006', 'MT-SLEEP-004', 'MT-BREAK-001', 'MT-BREAK-002', 'MT-BREAK-003', 'MT-BREAK-004', 'MT-SED-001', 'MT-SED-002', 'MT-REC-001', 'MT-REC-002', 'MT-OUT-001']",available_minutes=1; only tasks with estimated_minutes<=1 are eligible.,,,,,,,,
SAF-009,SR-006,我有5分钟，能不能做稍微多一点的事情？,allowed_under_5_min,"allowed=2 task_ids=['MT-SLEEP-001', 'MT-SLEEP-004']","blocked=8 task_ids=['MT-BREAK-001', 'MT-BREAK-002', 'MT-BREAK-003', 'MT-SED-001', 'MT-SED-002', 'MT-REC-001', 'MT-REC-002', 'MT-OUT-001']",available_minutes=5; tasks with estimated_minutes>5 are filtered out.,,,,,,,,
SAF-010,SR-009,我现在卧病在床不能动，但已经连续读了40分钟了，能不能做什么？,allowed_no_movement,"allowed=2 task_ids=['MT-BREAK-001', 'MT-BREAK-003']","blocked=6 task_ids=['MT-SED-001', 'MT-SED-002', 'MT-REC-001', 'MT-REC-002', 'MT-OUT-001', 'MT-BREAK-004']",cannot_move=true blocks movement/outdoor/standing tasks.,,,,,,,,
SAF-011,SR-009,我已经坐了40分钟，可以起来活动一下吗？,allowed,"allowed=2 task_ids=['MT-SED-001', 'MT-REC-001']",blocked=0 task_ids=[],False block control: cannot_move=false; movement tasks allowed.,,,,,,,,
SAF-012,SR-010,我正在摇晃的公交车上还在看书，应该怎么办？,allowed_pause_only,allowed=1 task_ids=['MT-EYE-003'],"blocked=21 task_ids=['MT-BREAK-001', 'MT-BREAK-002', 'MT-BREAK-003', 'MT-EYE-001', 'MT-EYE-002', 'MT-EYE-004', 'MT-EYE-005', 'MT-EYE-006', 'MT-EYE-007', 'MT-EYE-008', 'MT-SED-001', 'MT-SED-002', 'MT-REC-001', 'MT-REC-002', 'MT-OUT-001', 'MT-SLEEP-001', 'MT-SLEEP-002', 'MT-SLEEP-003', 'MT-SLEEP-004', 'MT-SLEEP-005', 'MT-SLEEP-006']",unstable_reading_or_screen=true; only pause_reading_or_screen tasks (MT-EYE-003) survive.,,,,,,,,
SAF-013,SR-010,环境稳定，已经连续读40分钟，可以远眺吗？,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-BREAK-003']",blocked=0 task_ids=[],False block control: unstable_environment=false; full break options allowed.,,,,,,,,
SAF-014,SR-011,我本来该睡觉了，还在被作业挤占，应该继续写作业吗？,blocked_continue_study,"allowed=4 task_ids=['MT-SLEEP-001', 'MT-SLEEP-002', 'MT-SLEEP-005', 'MT-SLEEP-006']","blocked=5 task_ids=['MT-BREAK-003', 'MT-EYE-001', 'MT-EYE-002', 'MT-EYE-007', 'MT-SED-001']",sleep_displaced_by_study=true; tasks with continue_study capability are filtered out.,,,,,,,,
SAF-015,SR-011,我还没准备睡觉，想继续写作业，先做姿势检查。,allowed,allowed=1 task_ids=['MT-EYE-001'],blocked=0 task_ids=[],False block control: continue_study tasks allowed when sleep is not displaced.,,,,,,,,
SAF-016,SR-012,我现在1分钟也不能动也不能听也不能看屏幕，应该怎么办？,no_safe_task,allowed=0 task_ids=[],"blocked=11 task_ids=['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-003', 'MT-EYE-005', 'MT-EYE-006', 'MT-EYE-007', 'MT-EYE-008', 'MT-SLEEP-001', 'MT-SLEEP-002', 'MT-SLEEP-003', 'MT-SLEEP-005']",Combined cannot_move + physical_discomfort + unstable_environment + sleep_being_crowded + 1 minute produces no safe task; SR-012 fires.,,,,,,,,
