case_id,case_family_id,query_style,query,current_context,activity_context,available_minutes,preferred_task_ids,preferred_task_titles,acceptable_task_ids,acceptable_task_titles,invalid_task_count,draft_gold_basis,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
TRG-001,TGF-A-PAPER-FAR-VIEW,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,home,writing,10,MT-BREAK-001,连续读写后的远眺休息,MT-BREAK-003|MT-REC-001|MT-REC-002|MT-OUT-001,连续读写后的纯休息|读写后的轻微活动|远眺加轻微活动的组合休息|读写后的户外休息,18,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-002,TGF-P-OUTDOOR-BREAK,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,outdoor,reading,10,MT-OUT-001,读写后的户外休息,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-003,TGF-B-SCREEN-BREAK,state_only,在自习区用平板上网课已经三十五分钟，现在有十分钟空档，接下来怎么休息比较合适？,study_space,screen,10,MT-BREAK-002,电子学习后的离屏远眺,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-004,TGF-A-PAPER-PLAIN-PAUSE,constraint_or_preference,在家连续读了四十分钟，现在有十分钟。我今天不想做额外活动，只想安静休息一下，怎么安排比较合适？,home,reading,10,MT-BREAK-003,连续读写后的纯休息,MT-BREAK-001|MT-OUT-001,连续读写后的远眺休息|读写后的户外休息,20,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-005,TGF-C-SCHOOL-BREAK,state_only,学校刚进入允许自由活动的十分钟课间，我前面一直坐在教室里，现在做什么比较合适？,school,other,10,MT-BREAK-004,课间离开座位活动,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-006,TGF-C-P-SCHOOL-READING-BREAK,state_only,刚在学校连续读了四十分钟，现在是可自由活动的十分钟课间，操场也开放，接下来怎么休息比较合适？,school,reading,10,MT-BREAK-004|MT-OUT-001,课间离开座位活动|读写后的户外休息,MT-BREAK-001|MT-BREAK-003|MT-REC-001|MT-REC-002,连续读写后的远眺休息|连续读写后的纯休息|读写后的轻微活动|远眺加轻微活动的组合休息,17,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-007,TGF-D-STUDY-SEDENTARY,state_only,在自习区连续坐着写作业一小时，现在有十分钟空档，接下来怎么安排比较合适？,study_space,writing,10,MT-SED-001,写作业久坐后的起身活动,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-008,TGF-E-ENTERTAINMENT-SEDENTARY,state_only,在家坐着玩电脑游戏已经一小时，现在有十分钟空档，接下来做什么比较合适？,home,screen,10,MT-SED-002,娱乐久坐后的起身活动,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-009,TGF-F-WRITING-POSTURE,problem_specific,准备继续写作业时发现自己眼睛离书本很近、胸口也贴着桌边，只有一分钟可以先处理一下，现在应该做什么？,home,writing,1,MT-EYE-001,读写姿势快速复位,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-010,TGF-F-LYING-READING,state_only,我正躺在家里的沙发上看书，还准备继续看一会儿，现在应该先做什么？,home,reading,1,MT-EYE-002,停止躺着看书或看屏幕,MT-EYE-001,读写姿势快速复位,21,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-011,TGF-G-POOR-LIGHT,problem_specific,自习区这个位置光线很暗，我马上要继续看书，现在应该先怎么处理？,study_space,reading,2,MT-EYE-004,换到合适光线再读写,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-012,TGF-Q-LIGHT-RECOVERY,constraint_or_preference,连续看书四十分钟后有十分钟休息。我不想一直坐着，但也不想做强度大的活动，怎样安排比较合适？,study_space,reading,10,MT-REC-001,读写后的轻微活动,MT-REC-002|MT-BREAK-001|MT-BREAK-003,远眺加轻微活动的组合休息|连续读写后的远眺休息|连续读写后的纯休息,19,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-013,TGF-H-COMPUTER-DISTANCE,problem_specific,在家用电脑学习时发现屏幕离眼睛很近，现在只有一分钟可以先处理一下，应该做什么？,home,screen,1,MT-EYE-005,检查电脑观看距离,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-014,TGF-I-PHONE-DISTANCE,problem_specific,我在停稳的候车区看手机，发现手机拿得离眼睛很近，现在应该先处理什么？,commute,screen,1,MT-EYE-006,检查手机观看距离,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-015,TGF-J-MOVING-COMMUTE,state_only,公交车正在行驶而且车厢有些晃，我还在看纸质资料，现在应该先做什么？,commute,reading,1,MT-EYE-003,移动场景先暂停阅读,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-016,TGF-K-EVENING-LIGHTING,problem_specific,晚上在家写作业，现在只开着台灯，房间顶灯没有开。继续学习前应该先处理什么？,home,writing,1,MT-EYE-007,晚间学习同时开台灯和顶灯,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-017,TGF-DEVICE-CHOICE,problem_specific,在学校准备开始网络学习，手边同时有手机和平板，其他条件差不多，应该优先用哪个？,school,screen,1,MT-EYE-008,有条件时选择更大屏幕学习,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-018,TGF-L-BEDTIME-PHONE,state_only,已经准备睡觉了，但我还在卧室刷手机，接下来怎么做比较合适？,bedroom,screen,5,MT-SLEEP-001,睡前停止玩手机和电子产品,MT-SLEEP-004,夜间减少高亮电子屏暴露,21,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-019,TGF-L-BRIGHT-SCREEN,constraint_or_preference,离睡觉时间很近了，我还有几分钟必须处理平板上的事情，但屏幕现在很亮，怎样做更合适？,home,screen,5,MT-SLEEP-004,夜间减少高亮电子屏暴露,MT-SLEEP-001,睡前停止玩手机和电子产品,21,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-020,TGF-M-FIXED-BEDTIME,state_only,已经到我平时睡觉的时间，今晚的事情也都做完了，但我还没上床，接下来怎么安排比较合适？,bedroom,other,1,MT-SLEEP-002,今晚按平时固定时间睡觉,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-021,TGF-N-WEEKEND-WAKE,state_only,上学日通常七点起床，周末我在考虑睡到十点，这样安排合适吗？如果不合适应该怎么调整？,home,other,1,MT-SLEEP-003,周末起床时间别偏太多,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-022,TGF-O-NIGHT-LIGHT,state_only,准备在卧室睡觉，夜灯还开着，也没有照明方面的安全需要，现在应该怎么处理？,bedroom,other,1,MT-SLEEP-005,睡觉时关闭夜灯,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
TRG-023,TGF-O-EXTERNAL-LIGHT,state_only,夜里窗外路灯一直照进卧室，现有窗帘可以用，睡觉前该怎么处理？,bedroom,other,2,MT-SLEEP-006,夜间把卧室光线挡暗一些,,,22,manual_semantic_judgment_from_frozen_formal_task_metadata_v2,,,,,,,,
