case_id,task_id,task_title,task_domain,task_contexts,estimated_minutes,draft_label,draft_reason
AGX-001,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,acceptable,远眺休息安静低负担，但纯休息更贴合不想活动的偏好
AGX-001,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-001,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,preferred,纯休息无活动，10分钟与home匹配，直接满足安静休息且不做活动的偏好
AGX-001,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-001,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,semantic_mismatch
AGX-001,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,semantic_mismatch
AGX-001,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-001,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-001,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-001,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-001,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-001,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-001,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-001,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-001,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-001,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-001,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-001,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-001,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-001,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-001,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch
AGX-001,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-001,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-002,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,acceptable,远眺缓解眼疲劳，但未解决久坐
AGX-002,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-002,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,semantic_mismatch
AGX-002,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-002,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,acceptable,起身活动解决久坐，但未组合眼部放松
