case_id,system,scenario,gold_soft_preferences,selected_task_id,selected_task_title,reviewer_A_alignment,reviewer_A_notes,reviewer_B_alignment,reviewer_B_notes,reviewer_C_alignment,reviewer_C_notes,consensus_alignment,consensus_status,consensus_notes
AGX-001,basic,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,prefers quiet rest and no movement | bedtime in about one hour; avoid heavy activity or screen,MT-REC-001,读写后的轻微活动,,,,,,,,,
AGX-001,personal,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,prefers quiet rest and no movement | bedtime in about one hour; avoid heavy activity or screen,MT-REC-001,读写后的轻微活动,,,,,,,,,
AGX-001,agentic,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,prefers quiet rest and no movement | bedtime in about one hour; avoid heavy activity or screen,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-004,basic,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,prefers light movement over vigorous activity,MT-BREAK-004,课间离开座位活动,,,,,,,,,
AGX-004,personal,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,prefers light movement over vigorous activity,MT-BREAK-004,课间离开座位活动,,,,,,,,,
AGX-004,agentic,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,prefers light movement over vigorous activity,MT-BREAK-004,课间离开座位活动,,,,,,,,,
AGX-007,basic,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,must finish one short important screen action before sleep,MT-SLEEP-004,夜间减少高亮电子屏暴露,,,,,,,,,
AGX-007,personal,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,must finish one short important screen action before sleep,MT-SLEEP-004,夜间减少高亮电子屏暴露,,,,,,,,,
AGX-007,agentic,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,must finish one short important screen action before sleep,MT-SLEEP-004,夜间减少高亮电子屏暴露,,,,,,,,,
AGX-008,basic,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,"bedtime approaching; prefer calm, low-stimulation rest",MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-008,personal,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,"bedtime approaching; prefer calm, low-stimulation rest",MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-008,agentic,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,"bedtime approaching; prefer calm, low-stimulation rest",MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-009,basic,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,prefers a combined rest addressing both eyes and sitting,MT-SED-001,写作业久坐后的起身活动,,,,,,,,,
AGX-009,personal,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,prefers a combined rest addressing both eyes and sitting,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-009,agentic,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,prefers a combined rest addressing both eyes and sitting,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-011,basic,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,habitual pre-sleep phone scrolling should be interrupted,MT-SLEEP-001,睡前停止玩手机和电子产品,,,,,,,,,
AGX-011,personal,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,habitual pre-sleep phone scrolling should be interrupted,MT-SLEEP-002,今晚按平时固定时间睡觉,,,,,,,,,
AGX-011,agentic,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,habitual pre-sleep phone scrolling should be interrupted,MT-SLEEP-002,今晚按平时固定时间睡觉,,,,,,,,,
AGX-014,basic,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,wants to sleep in later on weekend,MT-SLEEP-003,周末起床时间别偏太多,,,,,,,,,
AGX-014,personal,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,wants to sleep in later on weekend,MT-SLEEP-003,周末起床时间别偏太多,,,,,,,,,
AGX-014,agentic,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,wants to sleep in later on weekend,MT-SLEEP-003,周末起床时间别偏太多,,,,,,,,,
AGX-015,basic,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,prefers a rest without the far-view-only pattern,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-015,personal,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,prefers a rest without the far-view-only pattern,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
AGX-015,agentic,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,prefers a rest without the far-view-only pattern,MT-REC-002,远眺加轻微活动的组合休息,,,,,,,,,
