"case_id","case_family_id","query","preferred_count","acceptable_count","invalid_count","preferred_task_ids","acceptable_task_ids","review_status"
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","1","2","20","MT-BREAK-001","MT-BREAK-003|MT-REC-002","pending_human_review"
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","1","0","22","MT-OUT-001","","pending_human_review"
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","1","0","22","MT-BREAK-002","","pending_human_review"
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","1","4","18","MT-BREAK-003","MT-BREAK-001|MT-REC-001|MT-REC-002|MT-OUT-001","pending_human_review"
"TRG-005","TGF-C-SCHOOL-BREAK","学校现在进入允许自由活动的课间，我有十分钟，想离开座位活动一下。","1","0","22","MT-BREAK-004","","pending_human_review"
"TRG-006","TGF-C-P-SCHOOL-READING-BREAK","刚在学校连续读了四十分钟，现在是可自由活动的课间，也可以去操场，怎样休息都行。","2","4","17","MT-BREAK-004|MT-OUT-001","MT-BREAK-001|MT-BREAK-003|MT-REC-001|MT-REC-002","pending_human_review"
"TRG-007","TGF-D-STUDY-SEDENTARY","在自习区坐着写作业已经一小时，现在有十分钟，想针对久坐起身活动。","1","0","22","MT-SED-001","","pending_human_review"
"TRG-008","TGF-E-ENTERTAINMENT-SEDENTARY","在家坐着玩电脑游戏已经一小时，接下来十分钟想中断娱乐并起身活动。","1","0","22","MT-SED-002","","pending_human_review"
"TRG-009","TGF-F-WRITING-POSTURE","准备在家继续写作业，只有一分钟，想先快速检查书本、胸口和握笔距离是否合适。","1","0","22","MT-EYE-001","","pending_human_review"
"TRG-010","TGF-F-LYING-READING","我正躺在家里的沙发上看书，想用一分钟先把姿势调整好再继续。","1","1","21","MT-EYE-002","MT-EYE-001","pending_human_review"
"TRG-011","TGF-G-POOR-LIGHT","自习区这处光线很暗，我准备看书，想先用两分钟换到光线合适的位置。","1","0","22","MT-EYE-004","","pending_human_review"
"TRG-012","TGF-Q-LIGHT-RECOVERY","连续看书四十分钟后，我想在自习区用十分钟做一点轻微活动再继续。","1","2","20","MT-REC-001","MT-REC-002|MT-BREAK-003","pending_human_review"
"TRG-013","TGF-H-COMPUTER-DISTANCE","在家用电脑学习，屏幕离得有点近，想用一分钟检查并调整观看距离。","1","0","22","MT-EYE-005","","pending_human_review"
"TRG-014","TGF-I-PHONE-DISTANCE","通勤途中坐在停稳的候车区看手机，手机离眼睛太近，想快速调整距离。","1","0","22","MT-EYE-006","","pending_human_review"
"TRG-015","TGF-J-MOVING-COMMUTE","公交车正在行驶而且车厢有些晃，我还在看纸质资料，现在应该先做什么？","1","0","22","MT-EYE-003","","pending_human_review"
"TRG-016","TGF-K-EVENING-LIGHTING","晚上在家写作业时只开了台灯，想用一分钟把学习照明调整好。","1","0","22","MT-EYE-007","","pending_human_review"
"TRG-017","TGF-DEVICE-CHOICE","在学校开始网络学习前，手边有手机和平板可选，想先选更合适的屏幕。","1","0","22","MT-EYE-008","","pending_human_review"
"TRG-018","TGF-L-BEDTIME-PHONE","已经准备睡觉了，但还在卧室刷手机，想把电子设备使用停下来。","1","1","21","MT-SLEEP-001","MT-SLEEP-004","pending_human_review"
"TRG-019","TGF-L-BRIGHT-SCREEN","离睡觉时间很近了，我还在看高亮平板，想先减少这几分钟的亮屏暴露。","1","1","21","MT-SLEEP-004","MT-SLEEP-001","pending_human_review"
"TRG-020","TGF-M-FIXED-BEDTIME","已经到我平时睡觉的时间了，今晚想按固定时间上床，不再把普通学习往后拖。","1","0","22","MT-SLEEP-002","","pending_human_review"
"TRG-021","TGF-N-WEEKEND-WAKE","正在安排周末起床时间，想让它和上学日相比不要偏差太大。","1","0","22","MT-SLEEP-003","","pending_human_review"
"TRG-022","TGF-O-NIGHT-LIGHT","准备在卧室睡觉，夜灯还开着，也没有其他安全需要，想把环境调暗。","1","0","22","MT-SLEEP-005","","pending_human_review"
"TRG-023","TGF-O-EXTERNAL-LIGHT","夜里窗外路灯让卧室一直很亮，现有窗帘可以用，想在睡前把外光挡住。","1","0","22","MT-SLEEP-006","","pending_human_review"
"TRG-024","TGF-R-OPEN-BREAK-OPTIONS","在家连续读了四十分钟，现在有十分钟，远眺、轻微活动、两者结合或去户外都可以。","4","1","18","MT-BREAK-001|MT-REC-001|MT-REC-002|MT-OUT-001","MT-BREAK-003","pending_human_review"
