case_id,case_family_id,query_style,query,preferred_count,acceptable_count,invalid_count,preferred_task_ids,acceptable_task_ids,review_status
TRG-001,TGF-001,state_only,在家连续写作业四十分钟，现在有十分钟休息时间。刚才一直近距离看作业本，接下来怎样休息更合适？,1,3,19,MT-BREAK-001,MT-BREAK-003|MT-REC-001|MT-REC-002,pending_multi_reviewer_consensus
TRG-002,TGF-002,state_only,我在户外阅读区连续看了四十分钟资料，现在有十分钟空档，接下来怎么安排比较合适？,1,0,22,MT-OUT-001,,pending_multi_reviewer_consensus
TRG-003,TGF-003,state_only,在自习区用平板上网课已经三十五分钟，现在有十分钟空档，接下来怎么休息比较合适？,1,0,22,MT-BREAK-002,,pending_multi_reviewer_consensus
TRG-004,TGF-004,constraint_or_preference,在家连续读了四十分钟，现在有十分钟。我今天不想做额外活动，只想安静休息一下，怎么安排比较合适？,1,1,21,MT-BREAK-003,MT-BREAK-001,pending_multi_reviewer_consensus
TRG-005,TGF-005,state_only,学校刚进入允许自由活动的十分钟课间，我前面一直坐在教室里，现在做什么比较合适？,1,0,22,MT-BREAK-004,,pending_multi_reviewer_consensus
TRG-006,TGF-006,state_only,刚在学校连续读了四十分钟，现在是可自由活动的十分钟课间，操场也开放，接下来怎么休息比较合适？,2,4,17,MT-BREAK-004|MT-OUT-001,MT-BREAK-001|MT-BREAK-003|MT-REC-001|MT-REC-002,pending_multi_reviewer_consensus
TRG-007,TGF-007,state_only,在自习区连续坐着写作业一小时，现在有十分钟空档，接下来怎么安排比较合适？,1,4,18,MT-SED-001,MT-BREAK-001|MT-BREAK-003|MT-REC-001|MT-REC-002,pending_multi_reviewer_consensus
TRG-008,TGF-008,state_only,在家坐着玩电脑游戏已经一小时，现在有十分钟空档，接下来做什么比较合适？,1,0,22,MT-SED-002,,pending_multi_reviewer_consensus
TRG-009,TGF-009,problem_specific,准备继续写作业时发现自己眼睛离书本很近、胸口也贴着桌边，只有一分钟可以先处理一下，现在应该做什么？,1,0,22,MT-EYE-001,,pending_multi_reviewer_consensus
TRG-010,TGF-010,state_only,我正躺在家里的沙发上看书，还准备继续看一会儿，现在应该先做什么？,1,1,21,MT-EYE-002,MT-EYE-001,pending_multi_reviewer_consensus
TRG-011,TGF-011,problem_specific,自习区这个位置光线很暗，我马上要继续看书，现在应该先怎么处理？,1,0,22,MT-EYE-004,,pending_multi_reviewer_consensus
TRG-012,TGF-012,constraint_or_preference,连续看书四十分钟后有十分钟休息。我不想一直坐着，但也不想做强度大的活动，怎样安排比较合适？,1,3,19,MT-REC-001,MT-REC-002|MT-BREAK-001|MT-BREAK-003,pending_multi_reviewer_consensus
TRG-013,TGF-013,problem_specific,在家用电脑学习时发现屏幕离眼睛很近，现在只有一分钟可以先处理一下，应该做什么？,1,0,22,MT-EYE-005,,pending_multi_reviewer_consensus
TRG-014,TGF-014,problem_specific,我在停稳的候车区看手机，发现手机拿得离眼睛很近，现在应该先处理什么？,1,0,22,MT-EYE-006,,pending_multi_reviewer_consensus
TRG-015,TGF-015,state_only,公交车正在行驶而且车厢有些晃，我还在看纸质资料，现在应该先做什么？,1,0,22,MT-EYE-003,,pending_multi_reviewer_consensus
TRG-016,TGF-016,problem_specific,晚上在家写作业，现在只开着台灯，房间顶灯没有开。继续学习前应该先处理什么？,1,0,22,MT-EYE-007,,pending_multi_reviewer_consensus
TRG-017,TGF-017,problem_specific,在学校准备开始网络学习，手边同时有手机和平板，其他条件差不多，应该优先用哪个？,1,0,22,MT-EYE-008,,pending_multi_reviewer_consensus
TRG-018,TGF-018,state_only,已经准备睡觉了，但我还在卧室刷手机，接下来怎么做比较合适？,1,1,21,MT-SLEEP-001,MT-SLEEP-004,pending_multi_reviewer_consensus
TRG-019,TGF-019,constraint_or_preference,离睡觉时间很近了，我还有几分钟必须处理平板上的事情，但屏幕现在很亮，怎样做更合适？,1,0,22,MT-SLEEP-004,,pending_multi_reviewer_consensus
TRG-020,TGF-020,state_only,已经到我平时睡觉的时间，今晚的事情也都做完了，但我还没上床，接下来怎么安排比较合适？,1,0,22,MT-SLEEP-002,,pending_multi_reviewer_consensus
TRG-021,TGF-021,state_only,上学日通常七点起床，周末我在考虑睡到十点，这样安排合适吗？如果不合适应该怎么调整？,1,0,22,MT-SLEEP-003,,pending_multi_reviewer_consensus
TRG-022,TGF-022,state_only,准备在卧室睡觉，夜灯还开着，也没有照明方面的安全需要，现在应该怎么处理？,1,0,22,MT-SLEEP-005,,pending_multi_reviewer_consensus
TRG-023,TGF-023,state_only,夜里窗外路灯一直照进卧室，现有窗帘可以用，睡觉前该怎么处理？,1,0,22,MT-SLEEP-006,,pending_multi_reviewer_consensus
TRG-024,TGF-024,constraint_or_preference,在家连续读了四十分钟，现在有十分钟休息，附近可以安全到户外，也可以留在室内；我对休息方式没有特别偏好，怎么安排都可以。,5,0,18,MT-BREAK-001|MT-REC-001|MT-REC-002|MT-OUT-001|MT-BREAK-003,,pending_multi_reviewer_consensus
