review_id,case_id,system,selected_task_id
SP-001,AGX-009,basic,MT-SED-001
SP-002,AGX-008,personal,MT-REC-002
SP-003,AGX-001,agentic,MT-REC-002
SP-004,AGX-004,agentic,MT-BREAK-004
SP-005,AGX-004,basic,MT-BREAK-004
SP-006,AGX-019,agentic,MT-EYE-002
SP-007,AGX-016,agentic,MT-REC-002
SP-008,AGX-016,basic,MT-REC-002
SP-009,AGX-009,personal,MT-REC-002
SP-010,AGX-014,agentic,MT-SLEEP-003
SP-011,AGX-004,personal,MT-BREAK-004
SP-012,AGX-014,basic,MT-SLEEP-003
SP-013,AGX-001,basic,MT-REC-001
SP-014,AGX-001,personal,MT-REC-001
SP-015,AGX-015,personal,MT-REC-002
SP-016,AGX-011,agentic,MT-SLEEP-002
SP-017,AGX-007,agentic,MT-SLEEP-004
SP-018,AGX-019,basic,MT-EYE-002
SP-019,AGX-008,agentic,MT-REC-002
SP-020,AGX-011,basic,MT-SLEEP-001
SP-021,AGX-016,personal,MT-REC-002
SP-022,AGX-015,agentic,MT-REC-002
SP-023,AGX-008,basic,MT-REC-002
SP-024,AGX-020,agentic,MT-EYE-002
SP-025,AGX-011,personal,MT-SLEEP-002
SP-026,AGX-020,basic,MT-SLEEP-004
SP-027,AGX-020,personal,MT-EYE-002
SP-028,AGX-007,personal,MT-SLEEP-004
SP-029,AGX-019,personal,MT-EYE-002
SP-030,AGX-009,agentic,MT-REC-002
SP-031,AGX-014,personal,MT-SLEEP-003
SP-032,AGX-007,basic,MT-SLEEP-004
SP-033,AGX-015,basic,MT-REC-002
