system,metric,numerator,denominator,value,wilson_95_ci_low,wilson_95_ci_high,case_ids
basic,Gold Utility@1,26,20,1.3,,,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Preferred@1,8,20,0.4,0.21880653237281705,0.6134184992377469,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Valid@1,18,20,0.9,0.6989663547715128,0.9721335187862319,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Invalid Recommendation Rate,2,20,0.1,0.027866481213768224,0.3010336452284873,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Hard Constraint Satisfaction Rate,20,20,1.0,0.8388748419471806,1.0,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Soft Preference Alignment Rate,11,11,1.0,0.7411670330319684,1.0,AGX-001|AGX-004|AGX-007|AGX-008|AGX-009|AGX-011|AGX-014|AGX-015|AGX-016|AGX-019|AGX-020
basic,Memory Preference Alignment Rate,3,9,0.3333333333333333,0.1205838183869109,0.6457978644196036,AGX-005|AGX-008|AGX-009|AGX-011|AGX-013|AGX-015|AGX-017|AGX-018|AGX-020
basic,Evidence Contamination,0,20,0.0,0.0,0.16112515805281938,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
basic,Output Guard Pass Rate,15,21,0.7142857142857143,0.5004361928391441,0.8618613704787788,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020|AGX-023
personal,Gold Utility@1,29,20,1.45,,,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
